a2622612.565365
Narit-cm 26/02/2026 12:54:48 26/02/2026 12:56:53 0045 0013.384714 0052.542598 00.0 00.0
0002401 0010 0000000 0010 05 0000000 0010 0000000 0010
1 0 1 04000 1 0000 3.75 00000.o 0 0 01 000 16 002401 0.500 BT0
1 2 1 02000 1 0000 3.75 00000.o 0 0 01 000 16 002401 0.500 S2A0
1 1 1 04000 1 0000 3.75 00000.o 0 0 00 000 00 002401 3.1746 BC0
1 3 1 02000 1 0000 3.75 00000.o 0 0 00 000 00 002401 3.1746 S2P0
1 5 0 04000 0 0000 1.00 00000.o 0 0 00 000 00 000000 0.000 OF0
0.000 .o Analog 0 	0.000 .o Analog StErr 0 	0.000 .o Photon Counting 0 	0.000 .o PC StErr 0 	0.000 .o Overflow Info 0 
5.69003	0.000535698	0	0	0
5.69058	0.000524736	0	0	0
5.69036	0.000533168	0	0	0
5.69122	0.000542508	0.0166597	0.0166632	0
5.69069	0.000542638	0	0	0
5.69042	0.000531482	0	0	0
5.68998	0.00054173	0	0	0
5.68971	0.000539589	0	0	0
5.6902	0.000526552	0	0	0
5.69078	0.000520196	0	0	0
5.69083	0.000531871	0.0166597	0.0166632	0
5.69009	0.000547113	0	0	0
5.69119	0.000538098	0	0	0
5.69109	0.000539979	0	0	0
5.69084	0.000523114	0	0	0
5.69154	0.000524412	0	0	0
5.69077	0.000542378	0.0166597	0.0166632	0
5.69096	0.000532195	0	0	0
5.69173	0.000527784	0.0166597	0.0166632	0
5.69107	0.000537644	0	0	0
5.69024	0.000541081	0	0	0
5.69088	0.000547113	0	0	0
5.6915	0.000534854	0	0	0
5.69061	0.000548022	0.0166597	0.0166632	0
5.69114	0.000553989	0	0	0
5.69032	0.000530638	0	0	0
5.69143	0.000540822	0.0333195	0.0234645	0
5.69056	0.000533946	0.0166597	0.0166632	0
5.68945	0.000537773	0	0	0
5.69011	0.000525968	0	0	0
5.69148	0.000534271	0	0	0
5.68984	0.000526812	0.0166597	0.0166632	0
5.6895	0.000535308	0.0333195	0.0234645	0
5.69019	0.000524671	0	0	0
5.68996	0.000533946	0	0	0
5.69009	0.000536087	0	0	0
5.69165	0.000544973	0.0166597	0.0166632	0
5.69073	0.000554054	0.0166597	0.0166632	0
5.68998	0.000545168	0.0333195	0.0234645	0
5.69012	0.000544389	0	0	0
5.69121	0.000547438	0	0	0
5.69029	0.000538292	0	0	0
5.68984	0.000543805	0.0166597	0.0166632	0
5.69038	0.00054173	0.0166597	0.0166632	0
5.6915	0.000543935	0	0	0
5.68998	0.000539784	0.0333195	0.0234645	0
5.69081	0.000561059	0	0	0
5.69048	0.000552562	0	0	0
5.6908	0.000539914	0	0	0
5.69036	0.000537644	0	0	0
5.69025	0.000552756	0.0166597	0.0166632	0
5.69057	0.000535827	0.0166597	0.0166632	0
5.69062	0.0005512	0	0	0
5.69047	0.000521947	0.0166597	0.0166632	0
5.69092	0.000551784	0.0166597	0.0166632	0
5.69101	0.000545686	0	0	0
